MID,Zone,code,Ext,ชื่อ คลินิก/ โรงพยาบาลสัตว์ / ร้านค้า,แขวง/ตำบล,เขต/อำเภอ,จังหวัด,ID,User,Stock
1,CN1,802504,,โรงพยาบาลสัตว์เพื่อพูน,หายยา,เมือง,เชียงใหม่,802504,802504,500
2,CN1,824463,,คลินิกบ้านฮักสัตว์,สันปูเลย,ดอยสะเก็ด,เชียงใหม่,824463,824463,500
3,CN1,819181,,พร้อมรักษาสัตว์,ข่วงเปา,จอมทอง,เชียงใหม่,819181,819181,500
4,CE1,805630,,คลินิกแฟมิลี่สัตวแพทย์,นาป่า,เมืองชลบุรี,ชลบุรี,805630,805630,500
5,CE1,826220,,หมอลินรักษาสัตว์,นาป่า,เมืองชลบุรี,ชลบุรี,826220,826220,500
6,CE1,802390,,โรงพยาบาลสัตว์พนัส,พนัสนิคม,พนัสนิคม,ชลบุรี,802390,802390,500
7,CE1,832205,,โรงพยาบาลสัตว์ไตรขวัญ,สุรศักดิ์,ศรีราชา,ชลบุรี,832205,832205,500
8,CE1,803327,1,โรงพยาบาลสัตว์พัทยาเหนือ,นาเกลือ,บางละมุง,ชลบุรี,803327001,803327-1,500
9,CE1,803327,2,โรงพยาบาลสัตว์บุญสัมพันธ์ (Boonsamphan animal hospital),หนองปรือ,บางละมุง,ชลบุรี,803327002,803327-2,500
10,CE1,806235,,โรงพยาบาลสัตว์สัตหีบ,สัตหีบ,สัตหีบ,ชลบุรี,806235,806235,500
11,CE1,802801,,นาวีสัตวแพทย์,สัตหีบ,สัตหีบ,ชลบุรี,802801,802801,500
12,CE1,803034,,พยูนสัตวแพทย์,บ้านฉาง,บ้านฉาง,ระยอง,803034,803034,500
13,CE1,807383,,โรงพยาบาลสัตว์บ้านฉางพลา,บ้านฉาง,บ้านฉาง,ระยอง,807383,807383,500
14,CE1,836616,,โรงพยาบาลสัตว์เพ็ชรรัตน์,บ้านค่าย,บ้านค่าย,ระยอง,836616,836616,500
15,CE1,805628,,นานาเพ็ทแคร์รักษาสัตว์(หมอก้อง),จันทนิมิต,เมืองจันทบุรี,จันทบุรี,805628,805628,500
16,CE1,807516,,โรงพยาบาลสัตว์เมืองตราด,วังกระแจะ,เมืองตราด,ตราด,807516,807516,500
17,CP1,803213,,ร้านกิตติศักดิ์เพ็ทมาร์ทสาขาอยุธยา,ประตูชัย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,803213,803213,500
18,CP2,803610,,Dogclub Clinic,เนินพระ,อำเภอเมืองระยอง,ระยอง,803610,803610,500
19,CW1,837232,,เกษตรตาปีสัตวแพทย์,ตลาด,อำเภอเมืองสุราษฎร์ธานี,สุราษฎร์ธานี,837232,837232,500
20,CW1,804114,,เอ็ม ที สัตวแพทย์,โพธาราม,อำเภอโพธาราม,ราชบุรี,804114,804114,500
21,CW1,838565,,แลนด์มาร์คคลินิคแอนด์เพ็ทช็อป,ท่าพี่เลี้ยง,อำเภอเมืองสุพรรณบุรี,สุพรรณบุรี,838565,838565,500
22,CW1,837579,,โรงพยาบาลสัตว์จิตรักษ์,รั้วใหญ่,อำเภอเมืองสุพรรณบุรี,สุพรรณบุรี,837579,837579,500
